"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica o comportamento da API ao enviar PUT com payload vazio. Deve retornar 200 com updatedAt.","161","deve tratar PUT com payload vazio","api-tests","2026-03-01","passed","2026-03-01","Users API - PUT /api/users > Cenários Negativos","users.api.spec.ts","",""
"Como um usuário do SauceDemo
  Eu quero fazer login na aplicação
  Para acessar o catálogo de produtos","400","Login com usuário inexistente","","2026-03-01","passed","2026-03-01","","","",""
"Como um usuário do SauceDemo
  Eu quero fazer login na aplicação
  Para acessar o catálogo de produtos","442","Login com credenciais válidas","","2026-03-01","passed","2026-03-01","","","",""
"Verifica se a API rejeita registro quando o email possui formato inválido (sem @ e domínio).","159","deve rejeitar registro com email inválido","api-tests","2026-03-01","passed","2026-03-01","Auth API - POST /api/register > Cenários Negativos","auth.api.spec.ts","",""
"Como um cliente autenticado
  Eu quero finalizar a compra de produtos
  Para completar minha experiência de compra","777","Checkout com múltiplos produtos","","2026-03-01","passed","2026-03-01","","","",""
"Verifica se a API deleta corretamente um usuário existente, retornando status 204 No Content com body vazio.","157","deve deletar usuário existente com sucesso","api-tests","2026-03-01","passed","2026-03-01","Users API - DELETE /api/users > Cenários Positivos","users.api.spec.ts","",""
"Verifica se a API retorna status 404 e body vazio ao buscar um usuário com ID inexistente (9999).","303","deve retornar 404 para usuário inexistente","api-tests","2026-03-01","passed","2026-03-01","Users API - GET /api/users > Cenários Negativos","users.api.spec.ts","",""
"Verifica se a API consegue retornar dados corretamente mesmo com um delay forçado de 3 segundos, validando que o tempo de resposta real é >= 2.5s e que os dados retornados são válidos.","3165","deve lidar com resposta com delay de 3 segundos","api-tests","2026-03-01","passed","2026-03-01","API - Delayed Response","auth.api.spec.ts","",""
"Verifica se a API rejeita login quando email e password são enviados como null.","160","deve rejeitar login com campos nulos","api-tests","2026-03-01","passed","2026-03-01","Auth API - POST /api/login > Cenários Negativos","auth.api.spec.ts","",""
"Verifica se a API atualiza corretamente todos os campos de um usuário via PUT, retornando status 200 com os dados atualizados e timestamp updatedAt.","166","deve atualizar usuário existente completamente","api-tests","2026-03-01","passed","2026-03-01","Users API - PUT /api/users > Cenários Positivos","users.api.spec.ts","",""
"Verifica se a API rejeita login sem o campo password, retornando 400 com ""Missing password"".","158","deve rejeitar login sem senha","api-tests","2026-03-01","passed","2026-03-01","Auth API - POST /api/login > Cenários Negativos","auth.api.spec.ts","",""
"Como um usuário do SauceDemo
  Eu quero fazer login na aplicação
  Para acessar o catálogo de produtos","376","Login com senha em branco","","2026-03-01","passed","2026-03-01","","","",""
"Verifica o comportamento da API ao receber um payload malformado (string em vez de JSON), com Content-Type text/plain. Aceita status 200, 201, 400 ou 415.","160","deve validar resposta com payload malformado (string)","api-tests","2026-03-01","passed","2026-03-01","Users API - POST /api/users > Cenários Negativos","users.api.spec.ts","",""
"Verifica se a API retorna status 404 ao buscar um recurso com ID inexistente (23).","295","deve retornar 404 para recurso inexistente","api-tests","2026-03-01","passed","2026-03-01","Resources API - GET /api/unknown","auth.api.spec.ts","",""
"Verifica se a API processa corretamente requisições com header Accept: application/json customizado.","159","deve aceitar requisição com Accept header customizado","api-tests","2026-03-01","passed","2026-03-01","Users API - Validação de Headers","users.api.spec.ts","",""
"Verifica como a API trata requisições HEAD. Aceita status 200, 204, 403 ou 405 como respostas válidas.","15","deve tratar método HEAD corretamente","api-tests","2026-03-01","passed","2026-03-01","Users API - Métodos HTTP Inválidos","users.api.spec.ts","",""
"Verifica se a API rejeita login quando o payload está completamente vazio ({}).","160","deve rejeitar login com payload vazio","api-tests","2026-03-01","passed","2026-03-01","Auth API - POST /api/login > Cenários Negativos","auth.api.spec.ts","",""
"Como um usuário do SauceDemo
  Eu quero fazer login na aplicação
  Para acessar o catálogo de produtos","369","Login com campos vazios","","2026-03-01","passed","2026-03-01","","","",""
"Verifica o comportamento da API mock ao enviar PUT para um ID inexistente (99999). A API reqres.in retorna 200 mesmo para IDs inexistentes por ser uma API de mock.","306","deve tratar PUT para ID inexistente (API mock)","api-tests","2026-03-01","passed","2026-03-01","Users API - PUT /api/users > Cenários Negativos","users.api.spec.ts","",""
"Validação de segurança: verifica que a API NÃO retorna a senha do usuário no body da resposta de registro bem-sucedido, prevenindo vazamento de dados sensíveis.","161","não deve expor dados sensíveis no registro bem-sucedido","api-tests","2026-03-01","passed","2026-03-01","Auth API - Validações de Segurança","auth.api.spec.ts","",""
"Verifica se a API rejeita registro quando o campo password não é enviado. Espera-se status 400 com mensagem de erro ""Missing password"".","171","deve rejeitar registro sem senha","api-tests","2026-03-01","passed","2026-03-01","Auth API - POST /api/register > Cenários Negativos","auth.api.spec.ts","",""
"Verifica se a API retorna corretamente a segunda página de usuários, validando que o campo page é 2 e que o array de dados não está vazio.","310","deve listar usuários da página 2","api-tests","2026-03-01","passed","2026-03-01","Users API - GET /api/users > Cenários Positivos","users.api.spec.ts","",""
"Verifica se a API rejeita registro quando o campo email não é enviado. Espera-se status 400 com mensagem ""Missing email or username"".","160","deve rejeitar registro sem email","api-tests","2026-03-01","passed","2026-03-01","Auth API - POST /api/register > Cenários Negativos","auth.api.spec.ts","",""
"Verifica se a API retorna a lista de recursos (cores Pantone) com schema correto: id, name, year, color e pantone_value.","321","deve listar recursos com estrutura correta","api-tests","2026-03-01","passed","2026-03-01","Resources API - GET /api/unknown","auth.api.spec.ts","",""
"Validação de segurança: verifica que a API NÃO retorna a senha do usuário no body da resposta de login bem-sucedido, prevenindo vazamento de dados sensíveis.","161","não deve expor dados sensíveis no login bem-sucedido","api-tests","2026-03-01","passed","2026-03-01","Auth API - Validações de Segurança","auth.api.spec.ts","",""
"Verifica se a resposta da API contém os headers HTTP obrigatórios, incluindo Content-Type application/json.","160","deve retornar headers obrigatórios na resposta","api-tests","2026-03-01","passed","2026-03-01","Users API - Validação de Headers","users.api.spec.ts","",""
